!SIL	SIL
<SPOKEN_NOISE>	SPN
지산1길	f12 m20 f9 m0 e3 1 f0 m20 e7 
지산1동	f12 m20 f9 m0 e3 1 f3 m8 e20 
지산1로	f12 m20 f9 m0 e3 1 f5 m8 
지산cc	f12 m20 f9 m0 e3 c c 
지산네거리	f12 m20 f9 m0 e3 f2 m5 f0 m4 f5 m20 
지산동	f12 m20 f9 m0 e3 f3 m8 e20 
지산로	f12 m20 f9 m0 e3 f5 m8 
지산리	f12 m20 f9 m0 e3 f5 m20 
지산유원지	f12 m20 f9 m0 e3 f11 m17 f11 m14 e3 f12 m20 
지산중학교	f12 m20 f9 m0 e3 f12 m13 e20 f18 m0 e0 f0 m12 
지산초등학교	f12 m20 f9 m0 e3 f14 m8 f3 m18 e20 f18 m0 e0 f0 m12 
지삼로	f12 m20 f9 m0 e15 f5 m8 
지상	f12 m20 f9 m0 e20 
지상구	f12 m20 f9 m0 e20 f0 m13 
지상민	f12 m20 f9 m0 e20 f6 m20 e3 
지상억	f12 m20 f9 m0 e20 f11 m4 e0 
지샘병원	f12 m20 f9 m1 e15 f7 m6 e20 f11 m14 e3 
지석로	f12 m20 f9 m4 e0 f5 m8 
지석리	f12 m20 f9 m4 e0 f5 m20 
지선에게	f12 m20 f9 m4 e3 f11 m5 f0 m5 
지선이에게	f12 m20 f9 m4 e3 f11 m20 f11 m5 f0 m5 
지선잉에게	f12 m20 f9 m4 e3 f11 m20 e20 f11 m5 f0 m5 
지성	f12 m20 f9 m4 e20 
지성미	f12 m20 f9 m4 e20 f6 m20 
지성부동산	f12 m20 f9 m4 e20 f7 m13 f3 m8 e20 f9 m0 e3 
지성식	f12 m20 f9 m4 e20 f9 m20 e0 
지성호에게	f12 m20 f9 m4 e20 f18 m8 f11 m5 f0 m5 
지세준	f12 m20 f9 m5 f12 m13 e3 
지세포	f12 m20 f9 m5 f17 m8 
지세포항	f12 m20 f9 m5 f17 m8 f18 m0 e20 
지세포횟집	f12 m20 f9 m5 f17 m8 f18 m11 e18 f12 m20 e16 
지수	f12 m20 f9 m13 
지수ic	f12 m20 f9 m13 i c 
지수에게	f12 m20 f9 m13 f11 m5 f0 m5 
지숭이	f12 m20 f9 m13 e20 f11 m20 
지스템	f12 m20 f9 m18 f16 m5 e15 
지시스템	f12 m20 f9 m20 f9 m18 f16 m5 e15 
지식	f12 m20 f9 m20 e0 
지식산업센타	f12 m20 f9 m20 e0 f9 m0 e3 f11 m4 e16 f9 m5 e3 f16 m0 
지식산업센터	f12 m20 f9 m20 e0 f9 m0 e3 f11 m4 e16 f9 m5 e3 f16 m4 
지식정보단지역	f12 m20 f9 m20 e0 f12 m4 e20 f7 m8 f3 m0 e3 f12 m20 f11 m6 e0 
지실	f12 m20 f9 m20 e7 
지실요	f12 m20 f9 m20 e7 f11 m12 
지씨	f12 m20 f10 m20 
지아	f12 m20 f11 m0 
지아비에게	f12 m20 f11 m0 f7 m20 f11 m5 f0 m5 
지아에게	f12 m20 f11 m0 f11 m5 f0 m5 
지안	f12 m20 f11 m0 e3 
지암	f12 m20 f11 m0 e15 
지압원	f12 m20 f11 m0 e16 f11 m14 e3 
지애한테	f12 m20 f11 m1 f18 m0 e3 f16 m5 
지애희	f12 m20 f11 m1 f18 m19 
지앤비	f12 m20 f11 m1 e3 f7 m20 
지양로	f12 m20 f11 m2 e20 f5 m8 
지에듀	f12 m20 f11 m5 f3 m17 
지에스	f12 m20 f11 m5 f9 m18 
지에스엠	f12 m20 f11 m5 f9 m18 f11 m5 e15 
지에스티	f12 m20 f11 m5 f9 m18 f16 m20 
지에이코리아에게	f12 m20 f11 m5 f11 m20 f15 m8 f5 m20 f11 m0 f11 m5 f0 m5 
지에프씨	f12 m20 f11 m5 f17 m18 f10 m20 
지엔	f12 m20 f11 m5 e3 
지엔티	f12 m20 f11 m5 e3 f16 m20 
지엘	f12 m20 f11 m5 e7 
지엘리베라움	f12 m20 f11 m5 e7 f5 m20 f7 m5 f5 m0 f11 m13 e15 
지엠대우	f12 m20 f11 m5 e15 f3 m1 f11 m13 
지엠비	f12 m20 f11 m5 e15 f7 m20 
지엠피	f12 m20 f11 m5 e15 f17 m20 
지역	f12 m20 f11 m6 e0 
지역교	f12 m20 f11 m6 e0 f0 m12 
지역난방공사	f12 m20 f11 m6 e0 f2 m0 e3 f7 m0 e20 f0 m8 e20 f9 m0 
지역대	f12 m20 f11 m6 e0 f3 m1 
지역문화복합관	f12 m20 f11 m6 e0 f6 m13 e3 f18 m9 f7 m8 e0 f18 m0 e16 f0 m9 e3 
지역번호	f12 m20 f11 m6 e0 f7 m4 e3 f18 m8 
지연	f12 m20 f11 m6 e3 
지연에게	f12 m20 f11 m6 e3 f11 m5 f0 m5 
지연이	f12 m20 f11 m6 e3 f11 m20 
지연이에게	f12 m20 f11 m6 e3 f11 m20 f11 m5 f0 m5 
지연이한테	f12 m20 f11 m6 e3 f11 m20 f18 m0 e3 f16 m5 
지영	f12 m20 f11 m6 e20 
지영로	f12 m20 f11 m6 e20 f5 m8 
지영미에게	f12 m20 f11 m6 e20 f6 m20 f11 m5 f0 m5 
지영민	f12 m20 f11 m6 e20 f6 m20 e3 
지영에게	f12 m20 f11 m6 e20 f11 m5 f0 m5 
지영은에게	f12 m20 f11 m6 e20 f11 m18 e3 f11 m5 f0 m5 
지영이에게	f12 m20 f11 m6 e20 f11 m20 f11 m5 f0 m5 
지영태	f12 m20 f11 m6 e20 f16 m1 
지오	f12 m20 f11 m8 
지오그래픽	f12 m20 f11 m8 f0 m18 f5 m1 f17 m20 e0 
지오다노	f12 m20 f11 m8 f3 m0 f2 m8 
지오시스템	f12 m20 f11 m8 f9 m20 f9 m18 f16 m5 e15 
지오에게	f12 m20 f11 m8 f11 m5 f0 m5 
지오테크	f12 m20 f11 m8 f16 m5 f15 m18 
지오팜	f12 m20 f11 m8 f17 m0 e15 
지오한방삼계탕	f12 m20 f11 m8 f18 m0 e3 f7 m0 e20 f9 m0 e15 f0 m7 f16 m0 e20 
지옥규	f12 m20 f11 m8 e0 f0 m17 
지옥화에게	f12 m20 f11 m8 e0 f18 m9 f11 m5 f0 m5 
지온	f12 m20 f11 m8 e3 
지온테크	f12 m20 f11 m8 e3 f16 m5 f15 m18 
지완	f12 m20 f11 m9 e3 
지완이에게	f12 m20 f11 m9 e3 f11 m20 f11 m5 f0 m5 
지우	f12 m20 f11 m13 
지우에게	f12 m20 f11 m13 f11 m5 f0 m5 
지우테크	f12 m20 f11 m13 f16 m5 f15 m18 
지우한테	f12 m20 f11 m13 f18 m0 e3 f16 m5 
지욱	f12 m20 f11 m13 e0 
지욱이	f12 m20 f11 m13 e0 f11 m20 
지욱이에게	f12 m20 f11 m13 e0 f11 m20 f11 m5 f0 m5 
지운이에게	f12 m20 f11 m13 e3 f11 m20 f11 m5 f0 m5 
지움	f12 m20 f11 m13 e15 
지움2차	f12 m20 f11 m13 e15 2 f14 m0 
지웅이	f12 m20 f11 m13 e20 f11 m20 
지워줘	f12 m20 f11 m14 f12 m14 
지원	f12 m20 f11 m14 e3 
지원구에게	f12 m20 f11 m14 e3 f0 m13 f11 m5 f0 m5 
지원단	f12 m20 f11 m14 e3 f3 m0 e3 
지원동	f12 m20 f11 m14 e3 f3 m8 e20 
지원문	f12 m20 f11 m14 e3 f6 m13 e3 
지원에게	f12 m20 f11 m14 e3 f11 m5 f0 m5 
지원이	f12 m20 f11 m14 e3 f11 m20 
지원이네집	f12 m20 f11 m14 e3 f11 m20 f2 m5 f12 m20 e16 
지원이에게	f12 m20 f11 m14 e3 f11 m20 f11 m5 f0 m5 
지원자	f12 m20 f11 m14 e3 f12 m0 
지원청	f12 m20 f11 m14 e3 f14 m4 e20 
지원테크	f12 m20 f11 m14 e3 f16 m5 f15 m18 
지월	f12 m20 f11 m14 e7 
지월리	f12 m20 f11 m14 e7 f5 m20 
지웰	f12 m20 f11 m15 e7 
지웰시티	f12 m20 f11 m15 e7 f9 m20 f16 m20 
지웰실티	f12 m20 f11 m15 e7 f9 m20 e7 f16 m20 
지유	f12 m20 f11 m17 
지유명차	f12 m20 f11 m17 f6 m6 e20 f14 m0 
지유에게	f12 m20 f11 m17 f11 m5 f0 m5 
지윤	f12 m20 f11 m17 e3 
지윤에게	f12 m20 f11 m17 e3 f11 m5 f0 m5 
지윤오	f12 m20 f11 m17 e3 f11 m8 
지은	f12 m20 f11 m18 e3 
지은쌤에게	f12 m20 f11 m18 e3 f10 m1 e15 f11 m5 f0 m5 
지은씨에게	f12 m20 f11 m18 e3 f10 m20 f11 m5 f0 m5 
지은에게	f12 m20 f11 m18 e3 f11 m5 f0 m5 
지은이	f12 m20 f11 m18 e3 f11 m20 
지은이에게	f12 m20 f11 m18 e3 f11 m20 f11 m5 f0 m5 
지음	f12 m20 f11 m18 e15 
지이에스	f12 m20 f11 m20 f11 m5 f9 m18 
지인심	f12 m20 f11 m20 e3 f9 m20 e15 
지저동	f12 m20 f12 m4 f3 m8 e20 
지적동	f12 m20 f12 m4 e0 f3 m8 e20 
지점	f12 m20 f12 m4 e15 
지점장	f12 m20 f12 m4 e15 f12 m0 e20 
지점장님에게	f12 m20 f12 m4 e15 f12 m0 e20 f2 m20 e15 f11 m5 f0 m5 
지점장에게	f12 m20 f12 m4 e15 f12 m0 e20 f11 m5 f0 m5 
지정	f12 m20 f12 m4 e20 
지정면	f12 m20 f12 m4 e20 f6 m6 e3 
지정혜	f12 m20 f12 m4 e20 f18 m7 
지제동	f12 m20 f12 m5 f3 m8 e20 
지제역	f12 m20 f12 m5 f11 m6 e0 
지족동	f12 m20 f12 m8 e0 f3 m8 e20 
지족중학교	f12 m20 f12 m8 e0 f12 m13 e20 f18 m0 e0 f0 m12 
지존	f12 m20 f12 m8 e3 
지죽동	f12 m20 f12 m13 e0 f3 m8 e20 
지중해	f12 m20 f12 m13 e20 f18 m1 
지중해마을	f12 m20 f12 m13 e20 f18 m1 f6 m0 f11 m18 e7 
지지	f12 m20 f12 m20 
지지고	f12 m20 f12 m20 f0 m8 
지지대	f12 m20 f12 m20 f3 m1 
지창현	f12 m20 f14 m0 e20 f18 m6 e3 
지창희에게	f12 m20 f14 m0 e20 f18 m19 f11 m5 f0 m5 
지천면	f12 m20 f14 m4 e3 f6 m6 e3 
지철호에게	f12 m20 f14 m4 e7 f18 m8 f11 m5 f0 m5 
지청	f12 m20 f14 m4 e20 
지체	f12 m20 f14 m5 
지축역	f12 m20 f14 m13 e0 f11 m6 e0 
지축지구	f12 m20 f14 m13 e0 f12 m20 f0 m13 
지침리	f12 m20 f14 m20 e15 f5 m20 
지컴	f12 m20 f15 m4 e15 
지코바	f12 m20 f15 m8 f7 m0 
지코바치킨	f12 m20 f15 m8 f7 m0 f14 m20 f15 m20 e3 
지큐투에게	f12 m20 f15 m17 f16 m13 f11 m5 f0 m5 
지크	f12 m20 f15 m18 
지킴이	f12 m20 f15 m20 e15 f11 m20 
지트론	f12 m20 f16 m18 f5 m8 e3 
지티	f12 m20 f16 m20 
지평	f12 m20 f17 m6 e20 
지평동	f12 m20 f17 m6 e20 f3 m8 e20 
지평리	f12 m20 f17 m6 e20 f5 m20 
지평선	f12 m20 f17 m6 e20 f9 m4 e3 
지프	f12 m20 f17 m18 
지피엘	f12 m20 f17 m20 f11 m5 e7 
지하	f12 m20 f18 m0 
지하상가	f12 m20 f18 m0 f9 m0 e20 f0 m0 
지하주차장	f12 m20 f18 m0 f12 m13 f14 m0 f12 m0 e20 
지하차도	f12 m20 f18 m0 f14 m0 f3 m8 
지하철	f12 m20 f18 m0 f14 m4 e7 
지하철역	f12 m20 f18 m0 f14 m4 e7 f11 m6 e0 
지행역	f12 m20 f18 m1 e20 f11 m6 e0 
지행역점	f12 m20 f18 m1 e20 f11 m6 e0 f12 m4 e15 
지향띠에게	f12 m20 f18 m2 e20 f4 m20 f11 m5 f0 m5 
지현	f12 m20 f18 m6 e3 
지현동	f12 m20 f18 m6 e3 f3 m8 e20 
지현에게	f12 m20 f18 m6 e3 f11 m5 f0 m5 
지현이에게	f12 m20 f18 m6 e3 f11 m20 f11 m5 f0 m5 
지현천변1길	f12 m20 f18 m6 e3 f14 m4 e3 f7 m6 e3 1 f0 m20 e7 
지현철	f12 m20 f18 m6 e3 f14 m4 e7 
지현해	f12 m20 f18 m6 e3 f18 m1 
지현호	f12 m20 f18 m6 e3 f18 m8 
지형건	f12 m20 f18 m6 e20 f0 m4 e3 
지혜	f12 m20 f18 m7 
지혜롭고	f12 m20 f18 m7 f5 m8 e16 f0 m8 
지혜에게	f12 m20 f18 m7 f11 m5 f0 m5 
지혜연	f12 m20 f18 m7 f11 m6 e3 
지혜의	f12 m20 f18 m7 f11 m19 
지혜의숲	f12 m20 f18 m7 f11 m19 f9 m13 e25 
지혜한테	f12 m20 f18 m7 f18 m0 e3 f16 m5 
지호	f12 m20 f18 m8 
지호에게	f12 m20 f18 m8 f11 m5 f0 m5 
지화리	f12 m20 f18 m9 f5 m20 
지화이에게	f12 m20 f18 m9 f11 m20 f11 m5 f0 m5 
지환이	f12 m20 f18 m9 e3 f11 m20 
지회	f12 m20 f18 m11 
지효	f12 m20 f18 m12 
지효장에게	f12 m20 f18 m12 f12 m0 e20 f11 m5 f0 m5 
지후에게	f12 m20 f18 m13 f11 m5 f0 m5 
지훈에게	f12 m20 f18 m13 e3 f11 m5 f0 m5 
지훈이	f12 m20 f18 m13 e3 f11 m20 
지훈이에게	f12 m20 f18 m13 e3 f11 m20 f11 m5 f0 m5 
지휘	f12 m20 f18 m16 
지희에게	f12 m20 f18 m19 f11 m5 f0 m5 
직동리	f12 m20 e0 f3 m8 e20 f5 m20 
직똥이	f12 m20 e0 f4 m8 e20 f11 m20 
직물	f12 m20 e0 f6 m13 e7 
직산	f12 m20 e0 f9 m0 e3 
직산읍	f12 m20 e0 f9 m0 e3 f11 m18 e16 
직산점	f12 m20 e0 f9 m0 e3 f12 m4 e15 
직선읍사무소	f12 m20 e0 f9 m4 e3 f11 m18 e16 f9 m0 f6 m13 f9 m8 
직소폭포	f12 m20 e0 f9 m8 f17 m8 e0 f17 m8 
직업	f12 m20 e0 f11 m4 e16 
직영	f12 m20 e0 f11 m6 e20 
직영사업소	f12 m20 e0 f11 m6 e20 f9 m0 f11 m4 e16 f9 m8 
직영점	f12 m20 e0 f11 m6 e20 f12 m4 e15 
직원	f12 m20 e0 f11 m14 e3 
직원에게	f12 m20 e0 f11 m14 e3 f11 m5 f0 m5 
직장	f12 m20 e0 f12 m0 e20 
직접	f12 m20 e0 f12 m4 e16 
직지대리점	f12 m20 e0 f12 m20 f3 m1 f5 m20 f12 m4 e15 
직지사	f12 m20 e0 f12 m20 f9 m0 
직천저수지	f12 m20 e0 f14 m4 e3 f12 m4 f9 m13 f12 m20 
직탕폭포	f12 m20 e0 f16 m0 e20 f17 m8 e0 f17 m8 
직판장	f12 m20 e0 f17 m0 e3 f12 m0 e20 
직할시	f12 m20 e0 f18 m0 e7 f9 m20 
직화	f12 m20 e0 f18 m9 
진	f12 m20 e3 
진가네	f12 m20 e3 f0 m0 f2 m5 
진갈비	f12 m20 e3 f0 m0 e7 f7 m20 
진건	f12 m20 e3 f0 m4 e3 
진건고등학교	f12 m20 e3 f0 m4 e3 f0 m8 f3 m18 e20 f18 m0 e0 f0 m12 
진건오남로	f12 m20 e3 f0 m4 e3 f11 m8 f2 m0 e15 f5 m8 
진건읍	f12 m20 e3 f0 m4 e3 f11 m18 e16 
진경여자중학교	f12 m20 e3 f0 m6 e20 f11 m6 f12 m0 f12 m13 e20 f18 m0 e0 f0 m12 
진경여중	f12 m20 e3 f0 m6 e20 f11 m6 f12 m13 e20 
진경이	f12 m20 e3 f0 m6 e20 f11 m20 
진고개	f12 m20 e3 f0 m8 f0 m1 
진고기	f12 m20 e3 f0 m8 f0 m20 
진곡	f12 m20 e3 f0 m8 e0 
진곡산단2번로	f12 m20 e3 f0 m8 e0 f9 m0 e3 f3 m0 e3 2 f7 m4 e3 f5 m8 
진곡산단4번로	f12 m20 e3 f0 m8 e0 f9 m0 e3 f3 m0 e3 4 f7 m4 e3 f5 m8 
진골	f12 m20 e3 f0 m8 e7 
진관	f12 m20 e3 f0 m9 e3 
진관리	f12 m20 e3 f0 m9 e3 f5 m20 
진관사	f12 m20 e3 f0 m9 e3 f9 m0 
진관산단로	f12 m20 e3 f0 m9 e3 f9 m0 e3 f3 m0 e3 f5 m8 
진관삼거리	f12 m20 e3 f0 m9 e3 f9 m0 e15 f0 m4 f5 m20 
진관점	f12 m20 e3 f0 m9 e3 f12 m4 e15 
진관초등학교	f12 m20 e3 f0 m9 e3 f14 m8 f3 m18 e20 f18 m0 e0 f0 m12 
진광훈	f12 m20 e3 f0 m9 e20 f18 m13 e3 
진교	f12 m20 e3 f0 m12 
진구	f12 m20 e3 f0 m13 
진구에게	f12 m20 e3 f0 m13 f11 m5 f0 m5 
진구청	f12 m20 e3 f0 m13 f14 m4 e20 
진국에게	f12 m20 e3 f0 m13 e0 f11 m5 f0 m5 
진규에게	f12 m20 e3 f0 m17 f11 m5 f0 m5 
진금로	f12 m20 e3 f0 m18 e15 f5 m8 
진금혜	f12 m20 e3 f0 m18 e15 f18 m7 
진깡	f12 m20 e3 f1 m0 e20 
진남	f12 m20 e3 f2 m0 e15 
진남댁	f12 m20 e3 f2 m0 e15 f3 m1 e0 
진남체육관	f12 m20 e3 f2 m0 e15 f14 m5 f11 m17 e0 f0 m9 e3 
진내리	f12 m20 e3 f2 m1 f5 m20 
진노루현대아파트	f12 m20 e3 f2 m8 f5 m13 f18 m6 e3 f3 m1 f11 m0 f17 m0 f16 m18 
진다경에게	f12 m20 e3 f3 m0 f0 m6 e20 f11 m5 f0 m5 
진단	f12 m20 e3 f3 m0 e3 
진달래	f12 m20 e3 f3 m0 e7 f5 m1 
진달래식당	f12 m20 e3 f3 m0 e7 f5 m1 f9 m20 e0 f3 m0 e20 
진달래아파트	f12 m20 e3 f3 m0 e7 f5 m1 f11 m0 f17 m0 f16 m18 
진당구장	f12 m20 e3 f3 m0 e20 f0 m13 f12 m0 e20 
진도	f12 m20 e3 f3 m8 
진도군	f12 m20 e3 f3 m8 f0 m13 e3 
진도군청	f12 m20 e3 f3 m8 f0 m13 e3 f14 m4 e20 
진도군청입니다	f12 m20 e3 f3 m8 f0 m13 e3 f14 m4 e20 f11 m20 e16 f2 m20 f3 m0 
진도대로	f12 m20 e3 f3 m8 f3 m1 f5 m8 
진도아파트	f12 m20 e3 f3 m8 f11 m0 f17 m0 f16 m18 
진도요	f12 m20 e3 f3 m8 f11 m12 
진도읍	f12 m20 e3 f3 m8 f11 m18 e16 
진도지점	f12 m20 e3 f3 m8 f12 m20 f12 m4 e15 
진도집에게	f12 m20 e3 f3 m8 f12 m20 e16 f11 m5 f0 m5 
진동	f12 m20 e3 f3 m8 e20 
진동둔횟집	f12 m20 e3 f3 m8 e20 f3 m13 e3 f18 m11 e18 f12 m20 e16 
진동리	f12 m20 e3 f3 m8 e20 f5 m20 
진동면	f12 m20 e3 f3 m8 e20 f6 m6 e3 
진동면사무소	f12 m20 e3 f3 m8 e20 f6 m6 e3 f9 m0 f6 m13 f9 m8 
진동이형에게	f12 m20 e3 f3 m8 e20 f11 m20 f18 m6 e20 f11 m5 f0 m5 
진두	f12 m20 e3 f3 m13 
진두선착장	f12 m20 e3 f3 m13 f9 m4 e3 f14 m0 e0 f12 m0 e20 
진두포구	f12 m20 e3 f3 m13 f17 m8 f0 m13 
진들	f12 m20 e3 f3 m18 e7 
진등길	f12 m20 e3 f3 m18 e20 f0 m20 e7 
진량	f12 m20 e3 f5 m2 e20 
진량에	f12 m20 e3 f5 m2 e20 f11 m5 
진량읍	f12 m20 e3 f5 m2 e20 f11 m18 e16 
진량읍사무소	f12 m20 e3 f5 m2 e20 f11 m18 e16 f9 m0 f6 m13 f9 m8 
진량점	f12 m20 e3 f5 m2 e20 f12 m4 e15 
진례	f12 m20 e3 f5 m7 
진례ic	f12 m20 e3 f5 m7 i c 
진례역	f12 m20 e3 f5 m7 f11 m6 e0 
진로	f12 m20 e3 f5 m8 
진로마트	f12 m20 e3 f5 m8 f6 m0 f16 m18 
진로아파트	f12 m20 e3 f5 m8 f11 m0 f17 m0 f16 m18 
진료소	f12 m20 e3 f5 m12 f9 m8 
진리	f12 m20 e3 f5 m20 
진리사거리	f12 m20 e3 f5 m20 f9 m0 f0 m4 f5 m20 
진마루	f12 m20 e3 f6 m0 f5 m13 
진마트	f12 m20 e3 f6 m0 f16 m18 
진명빌딩	f12 m20 e3 f6 m6 e20 f7 m20 e7 f3 m20 e20 
진명산업	f12 m20 e3 f6 m6 e20 f9 m0 e3 f11 m4 e16 
진모루현대아파트	f12 m20 e3 f6 m8 f5 m13 f18 m6 e3 f3 m1 f11 m0 f17 m0 f16 m18 
진미	f12 m20 e3 f6 m20 
진미고에게	f12 m20 e3 f6 m20 f0 m8 f11 m5 f0 m5 
진미면옥	f12 m20 e3 f6 m20 f6 m6 e3 f11 m8 e0 
진미숙에게	f12 m20 e3 f6 m20 f9 m13 e0 f11 m5 f0 m5 
진미숙한테	f12 m20 e3 f6 m20 f9 m13 e0 f18 m0 e3 f16 m5 
진미식당	f12 m20 e3 f6 m20 f9 m20 e0 f3 m0 e20 
진미집	f12 m20 e3 f6 m20 f12 m20 e16 
진미통닭	f12 m20 e3 f6 m20 f16 m8 e20 f3 m0 e8 
진민영에게	f12 m20 e3 f6 m20 e3 f11 m6 e20 f11 m5 f0 m5 
진반우체국	f12 m20 e3 f7 m0 e3 f11 m13 f14 m5 f0 m13 e0 
진밭골	f12 m20 e3 f7 m0 e24 f0 m8 e7 
진밭국수	f12 m20 e3 f7 m0 e24 f0 m13 e0 f9 m13 
진밭길	f12 m20 e3 f7 m0 e24 f0 m20 e7 
진벌로	f12 m20 e3 f7 m4 e7 f5 m8 
진병삼에게	f12 m20 e3 f7 m6 e20 f9 m0 e15 f11 m5 f0 m5 
진병용	f12 m20 e3 f7 m6 e20 f11 m12 e20 
진보	f12 m20 e3 f7 m8 
진보경	f12 m20 e3 f7 m8 f0 m6 e20 
진보경에게	f12 m20 e3 f7 m8 f0 m6 e20 f11 m5 f0 m5 
진보병원	f12 m20 e3 f7 m8 f7 m6 e20 f11 m14 e3 
진봉선	f12 m20 e3 f7 m8 e20 f9 m4 e3 
진부	f12 m20 e3 f7 m13 
진부ic	f12 m20 e3 f7 m13 i c 
진부령	f12 m20 e3 f7 m13 f5 m6 e20 
진북로	f12 m20 e3 f7 m13 e0 f5 m8 
진사	f12 m20 e3 f9 m0 
진사갈비	f12 m20 e3 f9 m0 f0 m0 e7 f7 m20 
진사모엘	f12 m20 e3 f9 m0 f6 m8 f11 m5 e7 
진산	f12 m20 e3 f9 m0 e3 
진산3길	f12 m20 e3 f9 m0 e3 3 f0 m20 e7 
진산로	f12 m20 e3 f9 m0 e3 f5 m8 
진산리	f12 m20 e3 f9 m0 e3 f5 m20 
진산마을	f12 m20 e3 f9 m0 e3 f6 m0 f11 m18 e7 
진상리	f12 m20 e3 f9 m0 e20 f5 m20 
진상우	f12 m20 e3 f9 m0 e20 f11 m13 
진서	f12 m20 e3 f9 m4 
진서리	f12 m20 e3 f9 m4 f5 m20 
진서면	f12 m20 e3 f9 m4 f6 m6 e3 
진석에게	f12 m20 e3 f9 m4 e0 f11 m5 f0 m5 
진석타워	f12 m20 e3 f9 m4 e0 f16 m0 f11 m14 
진선	f12 m20 e3 f9 m4 e3 
진선에게	f12 m20 e3 f9 m4 e3 f11 m5 f0 m5 
진성	f12 m20 e3 f9 m4 e20 
진성12길	f12 m20 e3 f9 m4 e20 1 2 f0 m20 e7 
진성기에게	f12 m20 e3 f9 m4 e20 f0 m20 f11 m5 f0 m5 
진성면	f12 m20 e3 f9 m4 e20 f6 m6 e3 
진성모터스	f12 m20 e3 f9 m4 e20 f6 m8 f16 m4 f9 m18 
진성석제	f12 m20 e3 f9 m4 e20 f9 m4 e0 f12 m5 
진성시장	f12 m20 e3 f9 m4 e20 f9 m20 f12 m0 e20 
진성에게	f12 m20 e3 f9 m4 e20 f11 m5 f0 m5 
진성이	f12 m20 e3 f9 m4 e20 f11 m20 
진성초등학교	f12 m20 e3 f9 m4 e20 f14 m8 f3 m18 e20 f18 m0 e0 f0 m12 
진성탕	f12 m20 e3 f9 m4 e20 f16 m0 e20 
진성호	f12 m20 e3 f9 m4 e20 f18 m8 
진소	f12 m20 e3 f9 m8 
진수	f12 m20 e3 f9 m13 
진수성찬	f12 m20 e3 f9 m13 f9 m4 e20 f14 m0 e3 
진수에게	f12 m20 e3 f9 m13 f11 m5 f0 m5 
진수한테	f12 m20 e3 f9 m13 f18 m0 e3 f16 m5 
진숙이	f12 m20 e3 f9 m13 e0 f11 m20 
진순대	f12 m20 e3 f9 m13 e3 f3 m1 
진순이에게	f12 m20 e3 f9 m13 e3 f11 m20 f11 m5 f0 m5 
진순자	f12 m20 e3 f9 m13 e3 f12 m0 
진스	f12 m20 e3 f9 m18 
진승규에게	f12 m20 e3 f9 m18 e20 f0 m17 f11 m5 f0 m5 
진승기에게	f12 m20 e3 f9 m18 e20 f0 m20 f11 m5 f0 m5 
진시장	f12 m20 e3 f9 m20 f12 m0 e20 
진시황	f12 m20 e3 f9 m20 f18 m9 e20 
진실	f12 m20 e3 f9 m20 e7 
진아	f12 m20 e3 f11 m0 
진아리채	f12 m20 e3 f11 m0 f5 m20 f14 m1 
진아에게	f12 m20 e3 f11 m0 f11 m5 f0 m5 
진안	f12 m20 e3 f11 m0 e3 
진안골	f12 m20 e3 f11 m0 e3 f0 m8 e7 
진안구청	f12 m20 e3 f11 m0 e3 f0 m13 f14 m4 e20 
진안군	f12 m20 e3 f11 m0 e3 f0 m13 e3 
진안군청	f12 m20 e3 f11 m0 e3 f0 m13 e3 f14 m4 e20 
진안동	f12 m20 e3 f11 m0 e3 f3 m8 e20 
진안동사무소	f12 m20 e3 f11 m0 e3 f3 m8 e20 f9 m0 f6 m13 f9 m8 
진안점	f12 m20 e3 f11 m0 e3 f12 m4 e15 
진안지점	f12 m20 e3 f11 m0 e3 f12 m20 f12 m4 e15 
진양	f12 m20 e3 f11 m2 e20 
진양기계	f12 m20 e3 f11 m2 e20 f0 m20 f0 m7 
진양밸리cc	f12 m20 e3 f11 m2 e20 f7 m1 e7 f5 m20 c c 
진양읍사무소	f12 m20 e3 f11 m2 e20 f11 m18 e16 f9 m0 f6 m13 f9 m8 
진양호	f12 m20 e3 f11 m2 e20 f18 m8 
진양호밀면	f12 m20 e3 f11 m2 e20 f18 m8 f6 m20 e7 f6 m6 e3 
진에게	f12 m20 e3 f11 m5 f0 m5 
진여리에게	f12 m20 e3 f11 m6 f5 m20 f11 m5 f0 m5 
진여사에게	f12 m20 e3 f11 m6 f9 m0 f11 m5 f0 m5 
진영	f12 m20 e3 f11 m6 e20 
진영관	f12 m20 e3 f11 m6 e20 f0 m9 e3 
진영로	f12 m20 e3 f11 m6 e20 f5 m8 
진영리	f12 m20 e3 f11 m6 e20 f5 m20 
진영보건소	f12 m20 e3 f11 m6 e20 f7 m8 f0 m4 e3 f9 m8 
진영수산	f12 m20 e3 f11 m6 e20 f9 m13 f9 m0 e3 
진영씨에게	f12 m20 e3 f11 m6 e20 f10 m20 f11 m5 f0 m5 
진영에게	f12 m20 e3 f11 m6 e20 f11 m5 f0 m5 
진영엔타워	f12 m20 e3 f11 m6 e20 f11 m5 e3 f16 m0 f11 m14 
진영역	f12 m20 e3 f11 m6 e20 f11 m6 e0 
진영이	f12 m20 e3 f11 m6 e20 f11 m20 
진영이에게	f12 m20 e3 f11 m6 e20 f11 m20 f11 m5 f0 m5 
진영전기	f12 m20 e3 f11 m6 e20 f12 m4 e3 f0 m20 
